username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
scientific_american,1,-0.330525246725716,-0.1961383952182393,-0.1813254565479254,-0.6495275422797733,-0.7100832672680978,-1,rule,API Declared Bot,,,
strypey,0,0.2489381915855694,-0.2205611611376223,-0.171418973868721,3.3363490152956743,-0.0143665034993969,0,,,0.0,0.0,1.0
labr,0,-0.3126223745425572,-0.2175718042922554,-0.2506708353023565,0.3469415971140884,-1.623114371396961,-1,rule,Extreme Repetitive Content,,,
bosquebill,0,-0.2364495410973753,-0.203649448460291,-0.1119800777934943,-0.6495275422797733,0.799890560654681,0,,,0.0,1.0,1.0
sabinalorenz,0,0.3021799354465239,-0.2123669525389444,0.1158690238282079,-0.6495275422797733,2.256510900895212,0,,,0.0,1.0,1.0
engadget,1,-0.2873587395802599,-0.2182052271574797,-0.3002032486983788,0.0147852173161346,-0.3445102152500546,-1,rule,API Declared Bot,,,
goodbinary,0,0.5038952170859902,-0.1534146055829991,0.5121283309963856,-0.6495275422797733,0.4721863016037083,0,,,0.0,1.0,1.0
liliumf,0,-0.4816080217348123,-0.2223449828944373,-0.4190810408488321,-0.6495275422797733,-0.4903752938001478,0,,,0.0,1.0,1.0
ars_technica,1,-0.2096590267184389,-0.2158317002133035,-0.2704838006607654,-0.6495275422797733,-0.6290962228222552,-1,rule,API Declared Bot,,,
oto2.bsky.social,0,-0.4769830388263705,-0.1744597642160014,0.1554949545450256,1.3434107365079502,-1.427612036988326,-1,rule,Extreme Repetitive Content,,,
rappler.com,0,-0.4816080217348123,-0.2205109716861154,-0.3002032486983788,0.6790979769120425,-0.5916178617325939,0,,,0.0,1.0,1.0
alliwantsoda,0,-0.4816080217348123,-0.1700225515174062,0.2743727466954789,0.6790979769120425,-0.9151525651622192,0,,,0.0,1.0,1.0
joyousjoyness,0,0.3287906877779941,-0.2139509614832285,2.136791490385914,3.668505395093628,0.2677284310564587,-1,consensus,Density Outlier (DBSCAN),0.0,-1.0,-1.0
glworld_mirror,1,-0.4671426496594733,-0.1808339635494077,-0.4983329022824676,-0.3173711624818193,0.1046464459619491,-1,rule,API Declared Bot,,,
fonecokid,0,0.8334960599970992,-0.2229391815228286,-0.4884264196032632,-0.6495275422797733,1.4302011566877422,0,,,0.0,1.0,1.0
PhozziPhotos,0,0.4896383890379497,0.2372514027046031,-0.3002032486983788,-0.6495275422797733,3.238943684330823,-1,consensus,Density Outlier (DBSCAN),0.0,-1.0,-1.0
nic221,0,-0.2771109428051772,-0.1843361819523578,-0.240764352623152,1.0112543567099963,-0.1415533736326549,0,,,0.0,1.0,1.0
CuratedReligiousArt,1,-0.4476143973577656,-0.1911071028532,-0.438894006207241,0.6790979769120425,-1.0686462122714684,-1,rule,API Declared Bot,,,
sauvageoness,0,0.0952534828453736,0.2245877472892197,0.5616607443924078,-0.6495275422797733,-0.4706375229221322,0,,,0.0,1.0,1.0
KarinWanderer,0,0.2334188480887254,-0.2101736201960812,0.1257755065074123,1.675567116305904,1.4406563158070662,0,,,0.0,1.0,1.0
hourlyslothbot,1,-0.4816080217348123,-0.2177480385726605,-0.3398291794151965,0.6790979769120425,-1.883479896416222,-1,rule,API Declared Bot | Bot in Username | Extreme Repetitive Content,,,
berlin,0,-0.2512380052953225,-0.1558350470979313,-0.4785199369240587,-0.6495275422797733,-1.3797499270260785,-1,rule,Extreme Repetitive Content,,,
SuffolkLITLab,0,1.7700649072400407,-0.2164195032280685,-0.0525411817182676,-0.6495275422797733,-0.2810693348328506,0,,,0.0,1.0,1.0
sp4rkr4t,0,1.1444787525898945,-0.0141400962116726,-0.3596421447736054,-0.6495275422797733,0.4128870388500149,0,,,0.0,1.0,1.0
bagrounds,0,0.0936686984921313,-0.2126866132682326,-0.3002032486983788,1.3434107365079502,-0.2823401200345422,0,,,0.0,1.0,1.0
viorelleonardb,0,10.124402783903747,0.8220147340847029,-0.2506708353023565,-0.6495275422797733,0.4748412095458059,-1,consensus,Density Outlier (DBSCAN),1.0,-1.0,-1.0
sabcnews_za_unofficial,1,-0.4816080217348123,-0.2177758369790338,-0.4983329022824676,0.0147852173161346,-1.0572504718042666,-1,rule,API Declared Bot,,,
BewareTheCheese,0,-0.4168582610166281,-0.17272768770753,0.0861495757905946,-0.6495275422797733,-0.698188073015653,0,,,0.0,1.0,1.0
geoworldpolitical,0,-0.470642336451894,-0.2222964887649191,-0.1813254565479254,-0.6495275422797733,-0.269596625678928,0,,,0.0,1.0,1.0
digitalpardoe,0,-0.2369978145772278,-0.1903662274948603,-0.0822606297558809,-0.3173711624818193,0.8118934273799653,0,,,0.0,1.0,1.0
beberlei,0,-0.4816080217348123,0.6351724645211642,-0.1615124911895165,0.0147852173161346,0.0175860705596844,0,,,0.0,1.0,1.0
basnorkel,0,-0.3583811333680181,-0.2104274615342792,-0.4983329022824676,0.0147852173161346,0.0270499709041768,0,,,0.0,1.0,1.0
IngridHbn,0,-0.3998638223530578,-0.2217920593398291,-0.3101097313775832,-0.6495275422797733,1.1449763734824867,0,,,0.0,1.0,1.0
